text,url,table_index,link_type
"England in Australia ODI Match, 1970/71",https://www.espncricinfo.com/series/england-in-australia-odi-match-1970-71-60783/match-schedule-fixtures-and-results,1,series
"Prudential Trophy (Australia in England), 1972",https://www.espncricinfo.com/series/prudential-trophy-1972-60784/match-schedule-fixtures-and-results,1,series
"Pakistan in New Zealand ODI Match, 1972/73",https://www.espncricinfo.com/series/pakistan-in-new-zealand-odi-match-1972-73-60785/match-schedule-fixtures-and-results,1,series
"Prudential Trophy (New Zealand in England), 1973",https://www.espncricinfo.com/series/prudential-trophy-1973-60786/match-schedule-fixtures-and-results,1,series
"Prudential Trophy (West Indies in England), 1973",https://www.espncricinfo.com/series/prudential-trophy-1973-60787/match-schedule-fixtures-and-results,1,series
"Australia in New Zealand ODI Series, 1973/74",https://www.espncricinfo.com/series/australia-in-new-zealand-odi-series-1973-74-60788/match-schedule-fixtures-and-results,1,series
"Prudential Trophy (India in England), 1974",https://www.espncricinfo.com/series/prudential-trophy-1974-60789/match-schedule-fixtures-and-results,1,series
"Prudential Trophy (Pakistan in England), 1974",https://www.espncricinfo.com/series/prudential-trophy-1974-60790/match-schedule-fixtures-and-results,1,series
"England in Australia ODI Match, 1974/75",https://www.espncricinfo.com/series/england-in-australia-odi-match-1974-75-60791/match-schedule-fixtures-and-results,1,series
"England in New Zealand ODI Series, 1974/75",https://www.espncricinfo.com/series/england-in-new-zealand-odi-series-1974-75-60792/match-schedule-fixtures-and-results,1,series
"Prudential World Cup (in England), 1975",https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/match-schedule-fixtures-and-results,1,series
"West Indies in Australia ODI Match, 1975/76",https://www.espncricinfo.com/series/west-indies-in-australia-odi-match-1975-76-60794/match-schedule-fixtures-and-results,1,series
"India in New Zealand ODI Series, 1975/76",https://www.espncricinfo.com/series/india-in-new-zealand-odi-series-1975-76-60795/match-schedule-fixtures-and-results,1,series
"Prudential Trophy (West Indies in England), 1976",https://www.espncricinfo.com/series/prudential-trophy-1976-60796/match-schedule-fixtures-and-results,1,series
"New Zealand in Pakistan ODI Match, 1976/77",https://www.espncricinfo.com/series/new-zealand-in-pakistan-odi-match-1976-77-60797/match-schedule-fixtures-and-results,1,series
"Pakistan in West Indies ODI Match, 1976/77",https://www.espncricinfo.com/series/pakistan-in-west-indies-odi-match-1976-77-60798/match-schedule-fixtures-and-results,1,series
"Prudential Trophy (Australia in England), 1977",https://www.espncricinfo.com/series/prudential-trophy-1977-60799/match-schedule-fixtures-and-results,1,series
"England in Pakistan ODI Series, 1977/78",https://www.espncricinfo.com/series/england-in-pakistan-odi-series-1977-78-60800/match-schedule-fixtures-and-results,1,series
