text,url,table_index,link_type
"Australia in New Zealand T20I Match, 2004/05",https://www.espncricinfo.com/series/australia-in-new-zealand-t20i-match-2004-05-238218/match-schedule-fixtures-and-results,1,series
"Australia in England T20I Match, 2005",https://www.espncricinfo.com/series/australia-in-england-t20i-match-2005-238219/match-schedule-fixtures-and-results,1,series
"New Zealand in South Africa T20I Match, 2005/06",https://www.espncricinfo.com/series/new-zealand-in-south-africa-t20i-match-2005-06-238166/match-schedule-fixtures-and-results,1,series
"South Africa in Australia T20I Match, 2005/06",https://www.espncricinfo.com/series/south-africa-in-australia-t20i-match-2005-06-226335/match-schedule-fixtures-and-results,1,series
"West Indies in New Zealand T20I Match, 2005/06",https://www.espncricinfo.com/series/west-indies-in-new-zealand-t20i-match-2005-06-237244/match-schedule-fixtures-and-results,1,series
"Australia in South Africa T20I Match, 2005/06",https://www.espncricinfo.com/series/australia-in-south-africa-t20i-match-2005-06-238137/match-schedule-fixtures-and-results,1,series
"Sri Lanka in England T20I Match, 2006",https://www.espncricinfo.com/series/sri-lanka-in-england-t20i-match-2006-224906/match-schedule-fixtures-and-results,1,series
"Pakistan in England T20I Match, 2006",https://www.espncricinfo.com/series/pakistan-in-england-t20i-match-2006-224904/match-schedule-fixtures-and-results,1,series
"Zimbabwe in Bangladesh T20I Match, 2006/07",https://www.espncricinfo.com/series/zimbabwe-in-bangladesh-t20i-match-2006-07-264062/match-schedule-fixtures-and-results,1,series
"India in South Africa T20I Match, 2006/07",https://www.espncricinfo.com/series/india-in-south-africa-t20i-match-2006-07-255953/match-schedule-fixtures-and-results,1,series
"Sri Lanka in New Zealand T20I Series, 2006/07",https://www.espncricinfo.com/series/sri-lanka-in-new-zealand-t20i-series-2006-07-251042/match-schedule-fixtures-and-results,1,series
"England in Australia T20I Match, 2006/07",https://www.espncricinfo.com/series/england-in-australia-t20i-match-2006-07-249147/match-schedule-fixtures-and-results,1,series
"Pakistan in South Africa T20I Match, 2006/07",https://www.espncricinfo.com/series/pakistan-in-south-africa-t20i-match-2006-07-255956/match-schedule-fixtures-and-results,1,series
"West Indies in England T20I Series, 2007",https://www.espncricinfo.com/series/west-indies-in-england-t20i-series-2007-258447/match-schedule-fixtures-and-results,1,series
"Twenty20 Quadrangular (in Kenya) (Bangladesh, Kenya, Pakistan, Uganda in Kenya), 2007/08",https://www.espncricinfo.com/series/twenty20-quadrangular-in-kenya-2007-08-306979/match-schedule-fixtures-and-results,1,series
"ICC World Twenty20 (in South Africa), 2007/08",https://www.espncricinfo.com/series/icc-world-twenty20-2007-08-286109/match-schedule-fixtures-and-results,1,series
"Australia in India T20I Match, 2007/08",https://www.espncricinfo.com/series/australia-in-india-t20i-match-2007-08-297426/match-schedule-fixtures-and-results,1,series
"New Zealand in South Africa T20I Match, 2007/08",https://www.espncricinfo.com/series/new-zealand-in-south-africa-t20i-match-2007-08-298789/match-schedule-fixtures-and-results,1,series
"New Zealand in Australia T20I Match, 2007/08",https://www.espncricinfo.com/series/new-zealand-in-australia-t20i-match-2007-08-291341/match-schedule-fixtures-and-results,1,series
"West Indies in South Africa T20I Series, 2007/08",https://www.espncricinfo.com/series/west-indies-in-south-africa-t20i-series-2007-08-298790/match-schedule-fixtures-and-results,1,series
"India in Australia T20I Match, 2007/08",https://www.espncricinfo.com/series/india-in-australia-t20i-match-2007-08-291355/match-schedule-fixtures-and-results,1,series
"England in New Zealand T20I Series, 2007/08",https://www.espncricinfo.com/series/england-in-new-zealand-t20i-series-2007-08-300418/match-schedule-fixtures-and-results,1,series
"Bangladesh in Pakistan T20I Match, 2007/08",https://www.espncricinfo.com/series/bangladesh-in-pakistan-t20i-match-2007-08-343758/match-schedule-fixtures-and-results,1,series
"New Zealand in England T20I Match, 2008",https://www.espncricinfo.com/series/new-zealand-in-england-t20i-match-2008-296894/match-schedule-fixtures-and-results,1,series
"Australia in West Indies T20I Match, 2008",https://www.espncricinfo.com/series/australia-in-west-indies-t20i-match-2008-319126/match-schedule-fixtures-and-results,1,series
"ICC World Twenty20 Qualifier (Bermuda, Canada, Ireland, Kenya, Netherlands, Scotland in Ireland), 2008",https://www.espncricinfo.com/series/icc-world-twenty20-qualifier-2008-353665/match-schedule-fixtures-and-results,1,series
"T20 Canada (in Canada), 2008/09",https://www.espncricinfo.com/series/t20-canada-2008-09-361644/match-schedule-fixtures-and-results,1,series
"Bangladesh in South Africa T20I Match, 2008/09",https://www.espncricinfo.com/series/bangladesh-in-south-africa-t20i-match-2008-09-350339/match-schedule-fixtures-and-results,1,series
"West Indies in New Zealand T20I Series, 2008/09",https://www.espncricinfo.com/series/west-indies-in-new-zealand-t20i-series-2008-09-366702/match-schedule-fixtures-and-results,1,series
"South Africa in Australia T20I Series, 2008/09",https://www.espncricinfo.com/series/south-africa-in-australia-t20i-series-2008-09-351618/match-schedule-fixtures-and-results,1,series
"India in Sri Lanka T20I Match, 2008/09",https://www.espncricinfo.com/series/india-in-sri-lanka-t20i-match-2008-09-370896/match-schedule-fixtures-and-results,1,series
"New Zealand in Australia T20I Match, 2008/09",https://www.espncricinfo.com/series/new-zealand-in-australia-t20i-match-2008-09-351619/match-schedule-fixtures-and-results,1,series
"India in New Zealand T20I Series, 2008/09",https://www.espncricinfo.com/series/india-in-new-zealand-t20i-series-2008-09-366618/match-schedule-fixtures-and-results,1,series
