Player Name,Player ID,NAME,COUNTRY,Full name,Playing role,Batting style,Bowling style
Towhid Hridoy,990031,Towhid Hridoy,Bangladesh,Md Towhid Hridoy,Top-order batsman,Right-hand bat,Right-arm offbreak
LJ Wright,23460,Luke Wright,England,Luke James Wright,Allrounder,Right-hand bat,Right-arm medium-fast
Aaron Jones,957645,Aaron Jones,United States of America,Aaron Jones,nan,Right-hand bat,Legbreak googly
LS Livingstone,403902,Liam Livingstone,England,Liam Stephen Livingstone,nan,Right-hand bat,Legbreak
AA Obanda,291844,Alex Obanda,Kenya,Alex Auma Obanda,Opening batsman,Right-hand bat,Right-arm medium-fast
JR Ratnayeke,50250,Ravi Ratnayeke,Sri Lanka,Joseph Ravindran Ratnayeke,nan,Left-hand bat,Right-arm fast-medium
Sarfraz Nawaz,42630,Sarfraz Nawaz,Pakistan,Sarfraz Nawaz Malik,nan,Right-hand bat,Right-arm fast-medium
Shahriar Nafees,56153,Shahriar Nafees,Bangladesh,Shahriar Nafees Ahmed,Top-order batsman,Left-hand bat,nan
PL Symcox,47267,Pat Symcox,South Africa,Patrick Leonard Symcox,nan,Right-hand bat,Right-arm offbreak
Z Bimenyimana,1151261,Zappy Bimenyimana,Rwanda,Zappy Bimenyimana,nan,nan,nan
RMH Binny,26948,Roger Binny,India,Roger Michael Humphrey Binny,nan,Right-hand bat,Right-arm medium
BFW de Leede,1036191,Bas de Leede,Netherlands,Bas de Leede,Batsman,nan,nan
Javed Omar,55935,Javed Omar,Bangladesh,Mohammad Javed Omar Belim,Opening batsman,Right-hand bat,Legbreak
Kushal Malla,1141934,Kushal Malla,Nepal,Kushal Malla,nan,Left-hand bat,Slow left-arm orthodox
Iftikhar Ahmed,480603,Iftikhar Ahmed,Pakistan,Iftikhar Ahmed,Middle-order batsman,Right-hand bat,Right-arm offbreak
JK Kamande,24697,Jimmy Kamande,Kenya,James Kabatha Kamande,Bowler,Right-hand bat,Right-arm offbreak
F Behardien,44410,Farhaan Behardien,South Africa,Farhaan Behardien,Batting allrounder,Right-hand bat,Right-arm fast-medium
SJ Benn,51248,Sulieman Benn,West Indies,Sulieman Jamaal Benn,Bowler,Left-hand bat,Slow left-arm orthodox
MG Bracewell,326968,Michael Bracewell,New Zealand,Michael Gordon Bracewell,Top-order batsman,Left-hand bat,nan
DT Johnston,6038,Trent Johnston,Ireland,David Trent Johnston,Bowler,Right-hand bat,Right-arm fast-medium
EC Joyce,24249,Ed Joyce,Ireland,Edmund Christopher Joyce,Top-order batsman,Left-hand bat,Right-arm medium
AI Kallicharran,52285,Alvin Kallicharran,West Indies,Alvin Isaac Kallicharran,nan,Left-hand bat,Right-arm offbreak
RS Kalpage,49356,Ruwan Kalpage,Sri Lanka,Ruwan Senani Kalpage,nan,Left-hand bat,Right-arm offbreak
JM Kemp,45797,Justin Kemp,South Africa,Justin Miles Kemp,nan,Right-hand bat,Right-arm fast-medium
CS Martin,37700,Chris Martin,New Zealand,Christopher Stewart Martin,Bowler,Right-hand bat,Right-arm fast-medium
D Ndikubwimana,1155597,Didier Ndikubwimana,Rwanda,Didier Ndikubwimana,nan,nan,nan
DBL Powell,52790,Daren Powell,West Indies,Daren Brent Lyle Powell,nan,Right-hand bat,Right-arm fast-medium
AR Cusack,293983,Alex Cusack,Ireland,Alex Richard Cusack,Bowler,Right-hand bat,Right-arm medium-fast
JR Hopes,5702,James Hopes,Australia,James Redfern Hopes,Allrounder,Right-hand bat,Right-arm medium
DW Randall,19327,Derek Randall,England,Derek William Randall,nan,Right-hand bat,Right-arm medium
R Ravindra,959767,Rachin Ravindra,New Zealand,Rachin Ravindra,Batsman,Left-hand bat,Slow left-arm orthodox
DS Smith,52962,Devon Smith,West Indies,Devon Sheldon Smith,Opening batsman,Left-hand bat,Right-arm offbreak
PL Taylor,7926,Peter Taylor,Australia,Peter Laurence Taylor,nan,Left-hand bat,Right-arm offbreak
M Akayezu,1155599,Martin Akayezu,Rwanda,Martin Akayezu,nan,nan,nan
Saad Bin Zafar,359746,Saad Bin Zafar,Canada,Saad Bin Zafar,Allrounder,Left-hand bat,Slow left-arm orthodox
Shahadat Hossain,56149,Shahadat Hossain,Bangladesh,Kazi Shahadat Hossain,Bowler,Right-hand bat,Right-arm medium-fast
H Ssenyondo,420490,Henry Ssenyondo,Uganda,Henry Ssenyondo,nan,Right-hand bat,Slow left-arm orthodox
WA Young,547749,Will Young,New Zealand,William Alexander Young,nan,Right-hand bat,Right-arm offbreak
Asif Khan,315232,Asif Khan,Pakistan,Asif Khan,nan,Right-hand bat,Right-arm offbreak
JG Bracewell,36306,John Bracewell,New Zealand,John Garry Bracewell,nan,Right-hand bat,Right-arm offbreak
D Elgar,230852,Dean Elgar,South Africa,Dean Elgar,Opening batsman,Left-hand bat,Slow left-arm orthodox
JP Faulkner,270484,James Faulkner,Australia,James Peter Faulkner,Bowling allrounder,Right-hand bat,Left-arm fast-medium
Maninder Singh,30923,Maninder Singh,India,Maninder Singh,nan,Right-hand bat,Slow left-arm orthodox
KO Otieno,24714,Kennedy Otieno,Kenya,Kennedy Otieno Obuya,nan,Right-hand bat,nan
JA Rudolph,47015,Jacques Rudolph,South Africa,Jacobus Andries Rudolph,nan,Left-hand bat,Legbreak googly
RC Russell,19500,Jack Russell,England,Robert Charles Russell,nan,Left-hand bat,Right-arm offbreak
OA Shah,20123,Owais Shah,England,Owais Alam Shah,Batsman,Right-hand bat,Right-arm offbreak
GS Sobers,52946,Sir Garry Sobers,West Indies,Garfield St Aubrun Sobers,Allrounder,Left-hand bat,"Left-arm fast-medium, Slow left-arm orthodox, Slow left-arm chinaman"
Alok Kapali,56251,Alok Kapali,Bangladesh,Alok Kapali,nan,Right-hand bat,Legbreak
Fazalhaq Farooqi,974175,Fazal Haque,Afghanistan,FazalHaq Farooqi,nan,Right-hand bat,Left-arm medium
N Pradeep,324358,Nuwan Pradeep,Sri Lanka,Aththachchi Nuwan Pradeep Roshan Fernando,Bowler,Right-hand bat,Right-arm fast-medium
MJ Hoggard,14236,Matthew Hoggard,England,Matthew James Hoggard,nan,Right-hand bat,Right-arm fast-medium
SP O'Donnell,6995,Simon O'Donnell,Australia,Simon Patrick O'Donnell,nan,Right-hand bat,Right-arm fast-medium
RJ Ratnayake,50249,Rumesh Ratnayake,Sri Lanka,Rumesh Joseph Ratnayake,nan,Right-hand bat,Right-arm fast-medium
R Trumpelmann,698317,Ruben Trumpelmann,South Africa,Ruben Trumpelmann,nan,Right-hand bat,Left-arm fast
CBRLS Kumara,784375,Lahiru Kumara,Sri Lanka,Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara,Bowler,Left-hand bat,Right-arm fast
GRJ Matthews,6525,Greg Matthews,Australia,Gregory Richard John Matthews,Allrounder,Left-hand bat,Right-arm offbreak
O Tuyisenge,1151256,Orchide Tuyisenge,Rwanda,Orchide Tuyisenge,nan,nan,nan
Anshuman Rath,452472,Anshy Rath,Hong Kong,Anshuman Rath,Wicketkeeper batsman,Left-hand bat,Slow left-arm orthodox
Asif Mujtaba,39013,Asif Mujtaba,Pakistan,Mohammad Asif Mujtaba,nan,Left-hand bat,Slow left-arm orthodox
IM Chappell,4560,Ian Chappell,Australia,Ian Michael Chappell,Top-order batsman,Right-hand bat,Legbreak
BM Duckett,521637,Ben Duckett,England,Ben Matthew Duckett,nan,Left-hand bat,Right-arm offbreak
TG Evans,12543,Godfrey Evans,England,Thomas Godfrey Evans,nan,Right-hand bat,Legbreak
Gulsan Jha,1253822,,,,,,
